"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Event Class"
"17:24:28.0679890","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","REPARSE","Desired Access: Read","Registry"
"17:24:28.0680039","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","Desired Access: Read","Registry"
"17:24:28.0680181","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP","SUCCESS","Type: REG_SZ, Length: 10, Data: 1252","Registry"
"17:24:28.0680303","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP","SUCCESS","Type: REG_SZ, Length: 8, Data: 437","Registry"
"17:24:28.0680425","infected-md.exe","5048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","","Registry"
"17:24:28.0681253","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","Registry"
"17:24:28.0681353","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","Registry"
"17:24:28.0681464","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80","Registry"
"17:24:28.0681563","infected-md.exe","5048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:28.0681655","infected-md.exe","5048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value","Registry"
"17:24:28.0681738","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value","Registry"
"17:24:28.0681930","infected-md.exe","5048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:28.0682001","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:28.0682066","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:28.0682128","infected-md.exe","5048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:28.0683181","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\57a6ed1a-79f7-5011-b242-4784e5620cf7","NAME NOT FOUND","Length: 528","Registry"
"17:24:28.0683882","infected-md.exe","5048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:28.0683986","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:28.0684111","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:28.0684184","infected-md.exe","5048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:28.0696171","infected-md.exe","5048","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Conhost.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:28.0715896","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read","Registry"
"17:24:28.0716042","infected-md.exe","5048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read","Registry"
"17:24:28.0716432","infected-md.exe","5048","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED","NAME NOT FOUND","Length: 48","Registry"
