"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Event Class"
"17:24:31.9898040","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","REPARSE","Desired Access: Read","Registry"
"17:24:31.9898308","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9898442","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP","SUCCESS","Type: REG_SZ, Length: 10, Data: 1252","Registry"
"17:24:31.9898539","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP","SUCCESS","Type: REG_SZ, Length: 8, Data: 437","Registry"
"17:24:31.9898609","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","","Registry"
"17:24:31.9899354","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9899433","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","Registry"
"17:24:31.9899527","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9899602","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9899672","infected-MDd.exe","7048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9899804","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value","Registry"
"17:24:31.9900019","infected-MDd.exe","7048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9900079","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9900144","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:31.9900206","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9901269","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\57a6ed1a-79f7-5011-b242-4784e5620cf7","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9902124","infected-MDd.exe","7048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9902208","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9902285","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:31.9902358","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9916253","infected-MDd.exe","7048","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Conhost.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9938743","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read","Registry"
"17:24:31.9938928","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9939306","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED","NAME NOT FOUND","Length: 48","Registry"
"17:24:31.9939690","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","","Registry"
"17:24:31.9939818","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read","Registry"
"17:24:31.9939945","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9940069","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\ENABLED","SUCCESS","Type: REG_QWORD, Length: 8, Data: ","Registry"
"17:24:31.9940191","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","","Registry"
"17:24:31.9940382","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read","Registry"
"17:24:31.9940502","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9940615","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\ENABLED","SUCCESS","Type: REG_QWORD, Length: 8, Data: ","Registry"
"17:24:31.9940730","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","","Registry"
"17:24:31.9940847","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read","Registry"
"17:24:31.9940968","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9941080","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED","NAME NOT FOUND","Length: 48","Registry"
"17:24:31.9941194","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","","Registry"
"17:24:31.9942722","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-392226398-2339587689-2385295141-1000","SUCCESS","Desired Access: All Access","Registry"
"17:24:31.9942875","infected-MDd.exe","7048","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-392226398-2339587689-2385295141-1000\\Device\HarddiskVolume4\Windows\System32\conhost.exe","NAME NOT FOUND","Length: 40","Registry"
"17:24:31.9943097","infected-MDd.exe","7048","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-392226398-2339587689-2385295141-1000","SUCCESS","","Registry"
"17:24:31.9943229","infected-MDd.exe","7048","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9943403","infected-MDd.exe","7048","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value","Registry"
"17:24:31.9947076","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","REPARSE","Desired Access: Read","Registry"
"17:24:31.9947206","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9947314","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP","SUCCESS","Type: REG_SZ, Length: 10, Data: 1252","Registry"
"17:24:31.9947409","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP","SUCCESS","Type: REG_SZ, Length: 8, Data: 437","Registry"
"17:24:31.9947477","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CodePage","SUCCESS","","Registry"
"17:24:31.9948070","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9948219","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","Registry"
"17:24:31.9948312","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9948383","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9948450","Conhost.exe","4400","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9948513","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value","Registry"
"17:24:31.9948681","Conhost.exe","4400","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9948752","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9948818","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:31.9948883","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9949936","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\57a6ed1a-79f7-5011-b242-4784e5620cf7","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9950940","Conhost.exe","4400","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9951021","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9951098","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:31.9951171","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9961110","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9962446","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\b749553b-d950-5e03-6282-3145a61b1002","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9962799","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read","Registry"
"17:24:31.9962904","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read","Registry"
"17:24:31.9963289","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9964925","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value","Registry"
"17:24:31.9965064","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value","Registry"
"17:24:31.9965154","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read","Registry"
"17:24:31.9965220","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9965333","Conhost.exe","4400","RegQueryKey","HKLM\System\CurrentControlSet\Control\Srp\Gp\DLL","SUCCESS","Query: Full, SubKeys: 1, Values: 0","Registry"
"17:24:31.9965423","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Srp\Gp\DLL","SUCCESS","","Registry"
"17:24:31.9965495","Conhost.exe","4400","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value","Registry"
"17:24:31.9965707","Conhost.exe","4400","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9965781","Conhost.exe","4400","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","","Registry"
"17:24:31.9965873","Conhost.exe","4400","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value","Registry"
"17:24:31.9966061","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read","Registry"
"17:24:31.9966125","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9966200","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","Registry"
"17:24:31.9966281","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","","Registry"
"17:24:31.9973571","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read","Registry"
"17:24:31.9973700","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9973845","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060403","Registry"
"17:24:31.9973941","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000604xx","SUCCESS","Type: REG_SZ, Length: 26, Data: kernel32.dll","Registry"
"17:24:31.9975159","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","Registry"
"17:24:31.9975247","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","Registry"
"17:24:31.9975378","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SmtDelaySleepLoopWindowSize","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9975441","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SmtDelaySpinCountThreshold","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9975502","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SmtDelayBaseYield","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9975570","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SmtFactorYield","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9975623","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SmtDelayMaxYield","NAME NOT FOUND","Length: 80","Registry"
"17:24:31.9975689","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
"17:24:31.9976932","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\770aa552-671a-5e97-579b-151709ec0dbd","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9977229","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\770aa552-671a-5e97-579b-151709ec0dbd","NAME NOT FOUND","Length: 528","Registry"
"17:24:31.9977798","Conhost.exe","4400","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","Registry"
"17:24:31.9977938","Conhost.exe","4400","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0","Registry"
"17:24:31.9978070","Conhost.exe","4400","RegOpenKey","HKCU\Console","SUCCESS","Desired Access: Read","Registry"
"17:24:31.9978202","Conhost.exe","4400","RegQueryValue","HKCU\Console\ForceV2","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","Registry"
"17:24:31.9978361","Conhost.exe","4400","RegCloseKey","HKCU\Console","SUCCESS","","Registry"
"17:24:31.9987801","Conhost.exe","4400","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9987947","Conhost.exe","4400","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","Registry"
"17:24:31.9988104","Conhost.exe","4400","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","Registry"
"17:24:31.9988260","Conhost.exe","4400","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","Registry"
